Swarogi map file
Size;40;20
Player;8;10
Player;30;9;
Terrain;0;0;4
Terrain;0;1;4
Terrain;0;2;4
Terrain;0;3;4
Terrain;0;4;4
Terrain;0;5;4
Terrain;0;6;4
Terrain;0;7;4
Terrain;0;8;4
Terrain;0;9;8
Terrain;0;10;8
Terrain;0;11;4
Terrain;0;12;4
Terrain;0;13;4
Terrain;0;14;4
Terrain;0;15;4
Terrain;0;16;4
Terrain;0;17;4
Terrain;0;18;4
Terrain;0;19;4
Terrain;1;0;4
Terrain;1;1;4
Terrain;1;2;4
Terrain;1;3;5
Terrain;1;4;4
Terrain;1;5;4
Terrain;1;6;4
Terrain;1;7;4
Terrain;1;8;4
Terrain;1;9;8
Terrain;1;10;8
Terrain;1;11;4
Terrain;1;12;4
Terrain;1;13;4
Terrain;1;14;4
Terrain;1;15;4
Terrain;1;16;3
Terrain;1;17;4
Terrain;1;18;4
Terrain;1;19;4
Terrain;2;0;4
Terrain;2;1;4
Terrain;2;2;5
Terrain;2;3;5
Terrain;2;4;5
Terrain;2;5;3
Terrain;2;6;3
Terrain;2;7;4
Terrain;2;8;4
Terrain;2;9;8
Terrain;2;10;8
Terrain;2;11;4
Terrain;2;12;4
Terrain;2;13;4
Terrain;2;14;3
Terrain;2;15;3
Terrain;2;16;3
Terrain;2;17;3
Terrain;2;18;3
Terrain;2;19;4
Terrain;3;0;4
Terrain;3;1;4
Terrain;3;2;5
Terrain;3;3;3
Terrain;3;4;3
Terrain;3;5;3
Terrain;3;6;2
Terrain;3;7;8
Terrain;3;8;8
Terrain;3;9;8
Terrain;3;10;4
Terrain;3;11;4
Terrain;3;12;4
Terrain;3;13;3
Terrain;3;14;3
Terrain;3;15;3
Terrain;3;16;2
Terrain;3;17;3
Terrain;3;18;4
Terrain;3;19;4
Terrain;4;0;4
Terrain;4;1;4
Terrain;4;2;5
Terrain;4;3;5
Terrain;4;4;5
Terrain;4;5;3
Terrain;4;6;8
Terrain;4;7;8
Terrain;4;8;8
Terrain;4;9;8
Terrain;4;10;3
Terrain;4;11;4
Terrain;4;12;4
Terrain;4;13;4
Terrain;4;14;3
Terrain;4;15;2
Terrain;4;16;2
Terrain;4;17;2
Terrain;4;18;3
Terrain;4;19;4
Terrain;5;0;4
Terrain;5;1;5
Terrain;5;2;5
Terrain;5;3;5
Terrain;5;4;3
Terrain;5;5;8
Terrain;5;6;8
Terrain;5;7;7
Terrain;5;8;1
Terrain;5;9;3
Terrain;5;10;3
Terrain;5;11;3
Terrain;5;12;4
Terrain;5;13;3
Terrain;5;14;3
Terrain;5;15;2
Terrain;5;16;2
Terrain;5;17;3
Terrain;5;18;3
Terrain;5;19;4
Terrain;6;0;4
Terrain;6;1;4
Terrain;6;2;5
Terrain;6;3;4
Terrain;6;4;4
Terrain;6;5;8
Terrain;6;6;8
Terrain;6;7;7
Terrain;6;8;1
Terrain;6;9;1
Terrain;6;10;1
Terrain;6;11;2
Terrain;6;12;3
Terrain;6;13;3
Terrain;6;14;3
Terrain;6;15;3
Terrain;6;16;2
Terrain;6;17;2
Terrain;6;18;3
Terrain;6;19;4
Terrain;7;0;4
Terrain;7;1;5
Terrain;7;2;3
Terrain;7;3;4
Terrain;7;4;4
Terrain;7;5;8
Terrain;7;6;8
Terrain;7;7;1
Terrain;7;8;1
Terrain;7;9;1
Terrain;7;10;1
Terrain;7;11;1
Terrain;7;12;2
Terrain;7;13;3
Terrain;7;14;2
Terrain;7;15;3
Terrain;7;16;2
Terrain;7;17;3
Terrain;7;18;3
Terrain;7;19;4
Terrain;8;0;4
Terrain;8;1;4
Terrain;8;2;3
Terrain;8;3;4
Terrain;8;4;4
Terrain;8;5;8
Terrain;8;6;8
Terrain;8;7;2
Terrain;8;8;1
Terrain;8;9;1
Terrain;8;10;1
Terrain;8;11;1
Terrain;8;12;1
Terrain;8;13;2
Terrain;8;14;3
Terrain;8;15;3
Terrain;8;16;2
Terrain;8;17;1
Terrain;8;18;3
Terrain;8;19;4
Terrain;9;0;4
Terrain;9;1;3
Terrain;9;2;3
Terrain;9;3;8
Terrain;9;4;8
Terrain;9;5;8
Terrain;9;6;2
Terrain;9;7;1
Terrain;9;8;1
Terrain;9;9;1
Terrain;9;10;1
Terrain;9;11;1
Terrain;9;12;1
Terrain;9;13;1
Terrain;9;14;3
Terrain;9;15;3
Terrain;9;16;1
Terrain;9;17;2
Terrain;9;18;3
Terrain;9;19;3
Terrain;10;0;4
Terrain;10;1;3
Terrain;10;2;8
Terrain;10;3;8
Terrain;10;4;8
Terrain;10;5;8
Terrain;10;6;2
Terrain;10;7;2
Terrain;10;8;1
Terrain;10;9;1
Terrain;10;10;1
Terrain;10;11;1
Terrain;10;12;1
Terrain;10;13;1
Terrain;10;14;1
Terrain;10;15;3
Terrain;10;16;3
Terrain;10;17;1
Terrain;10;18;3
Terrain;10;19;3
Terrain;11;0;4
Terrain;11;1;8
Terrain;11;2;8
Terrain;11;3;8
Terrain;11;4;7
Terrain;11;5;2
